2017-11-12 17:54:40,672[ost-startStop-1]  [INFO ] [.e.c.c.d.JNDIDataSourceFactory 59]   - This=org.eclipse.che.core.db.h2.H2SQLJndiDataSourceFactory@28103f14 obj=ResourceRef[className=javax.sql.DataSource,factoryClassLocation=null,factoryClassName=org.apache.naming.factory.ResourceFactory,{type=scope,content=Shareable},{type=auth,content=Container},{type=singleton,content=true},{type=factory,content=org.eclipse.che.core.db.h2.H2SQLJndiDataSourceFactory}] name=che Context=org.apache.naming.NamingContext@78ff560f environment={}
2017-11-12 18:08:57,046[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 18:08:57,050[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:08:57,052[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:08:57,054[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:08:57,124[aceSharedPool-3]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.exec' agent at workspace workspacevhc4anpw9h0yssu8
2017-11-12 18:08:59,377[aceSharedPool-3]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.terminal' agent at workspace workspacevhc4anpw9h0yssu8
2017-11-12 18:09:05,602[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 18:09:05,602[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = null
2017-11-12 18:09:05,603[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:09:05,604[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:09:05,604[aceSharedPool-3]  [INFO ] [m.BaseServerEvaluationStrategy 141]  - cheWorkspacesRoutingSuffixProvider = org.eclipse.che.plugin.docker.client.WorkspacesRoutingSuffixProvider@64938704
2017-11-12 18:09:05,742[aceSharedPool-3]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.exec' agent at workspace workspacevhc4anpw9h0yssu8
2017-11-12 18:09:08,133[aceSharedPool-3]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.terminal' agent at workspace workspacevhc4anpw9h0yssu8
2017-11-12 18:09:10,383[aceSharedPool-3]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.ws-agent' agent at workspace workspacevhc4anpw9h0yssu8
2017-11-12 18:09:56,581[aceSharedPool-3]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 676]   - Launching 'org.eclipse.che.ssh' agent at workspace workspacevhc4anpw9h0yssu8
2017-11-12 18:09:57,009[aceSharedPool-3]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 658]    - Workspace 'che/MavenMySQL' with id 'workspacevhc4anpw9h0yssu8' started by user 'che'
2017-11-12 18:54:58,736[ted-scheduler-4]  [INFO ] [ockerAbandonedResourcesCleaner 126]  - List containers registered in the api: [/workspacevhc4anpw9h0yssu8_machine14bjpq26mfnus52v_che_dev-machine, /workspacevhc4anpw9h0yssu8_machinejpzh8876xrd3elw9_che_db, /workspace5rq729h30c9ntb64_machineff2x0268vvixujt5_che_dev-machine, /workspace5rq729h30c9ntb64_machiner3zkpfny47hoh8rf_che_db]
2017-11-12 19:08:46,241[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 700]    - Workspace 'che/EstaBienMapeado' with id 'workspace5rq729h30c9ntb64' is being stopped by user 'activity-checker'
2017-11-12 19:08:46,372[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 855]   - Creating snapshot of workspace 'workspace5rq729h30c9ntb64', machines to snapshot: '2'
2017-11-12 19:08:50,777[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 882]   - Saving new snapshots metadata, workspace id 'workspace5rq729h30c9ntb64'
2017-11-12 19:08:56,309[aceSharedPool-0]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 733]    - Workspace 'che/EstaBienMapeado' with id 'workspace5rq729h30c9ntb64' stopped by user 'activity-checker'
2017-11-12 19:11:46,086[aceSharedPool-1]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 700]    - Workspace 'che/MavenMySQL' with id 'workspacevhc4anpw9h0yssu8' is being stopped by user 'activity-checker'
2017-11-12 19:11:46,092[aceSharedPool-1]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 855]   - Creating snapshot of workspace 'workspacevhc4anpw9h0yssu8', machines to snapshot: '2'
2017-11-12 19:11:48,984[aceSharedPool-1]  [INFO ] [o.e.c.a.w.s.WorkspaceRuntimes 882]   - Saving new snapshots metadata, workspace id 'workspacevhc4anpw9h0yssu8'
2017-11-12 19:11:52,267[aceSharedPool-1]  [INFO ] [e.c.a.w.s.i.ServerIdleDetector 81]   - Idling che server scheduled [timeout=1800] seconds]
2017-11-12 19:11:52,268[aceSharedPool-1]  [INFO ] [o.e.c.a.w.s.WorkspaceManager 733]    - Workspace 'che/MavenMySQL' with id 'workspacevhc4anpw9h0yssu8' stopped by user 'activity-checker'
